case,k_pi,nh_from,nh_to,eta,delta_E,delta_Z,spectral_l1,rest_spectral_l1,recursion_l1,reference_certified
C,0.0,18,20,0.025,1.2256862191861728e-13,4.961031585537512e-13,0.03177064201938634,0.061866558882486385,0.0004474721108775037,False
C,0.0,18,20,0.1,1.2256862191861728e-13,4.961031585537512e-13,0.0004701256649161023,0.0008997016289453298,5.317162521120513e-10,True
C,0.0,18,20,0.2,1.2256862191861728e-13,4.961031585537512e-13,0.00010745634695284918,0.00020110950517135263,8.203645209027427e-15,True
C,0.5,10,12,0.05,2.7176071982548677e-05,1.1841294899658794e-05,0.11429942449526373,0.12425995077530336,0.0041337563614024025,False
C,0.5,10,12,0.025,2.7176071982548677e-05,1.1841294899658794e-05,0.21728050990831485,0.23630990468860477,0.04501085531343469,False
C,0.5,10,12,0.1,2.7176071982548677e-05,1.1841294899658794e-05,0.06044561581858544,0.06566093690620291,5.568612750641148e-05,False
C,0.5,10,12,0.2,2.7176071982548677e-05,1.1841294899658794e-05,0.031664594018307936,0.03434453370350374,2.039176034722045e-08,False
C,0.5,12,14,0.05,8.057804503636135e-07,4.068249696009829e-07,0.048071351739661386,0.05227167696655185,0.0064364175281445895,False
C,0.5,12,14,0.025,8.057804503636135e-07,4.068249696009829e-07,0.11467423243281018,0.12474806911896796,0.05799537933112314,False
C,0.5,12,14,0.1,8.057804503636135e-07,4.068249696009829e-07,0.01871667453411908,0.020334506079250154,0.00012681652271753695,False
C,0.5,12,14,0.2,8.057804503636135e-07,4.068249696009829e-07,0.00855054615250405,0.00927377020424256,9.966121538279294e-08,False
C,0.5,14,16,0.05,1.9134665851794352e-08,1.1696682469808373e-08,0.023389228762417186,0.025433203069737606,0.0002368042006170831,False
C,0.5,14,16,0.025,1.9134665851794352e-08,1.1696682469808373e-08,0.06326810250274445,0.06882674230249976,0.00897298982839156,False
C,0.5,14,16,0.1,1.9134665851794352e-08,1.1696682469808373e-08,0.007448670772618346,0.008092592027991742,3.3396519779732684e-07,False
C,0.5,14,16,0.2,1.9134665851794352e-08,1.1696682469808373e-08,0.00272395123711495,0.0029543191880353993,1.7292069744920406e-12,True
C,0.5,16,18,0.05,4.1279113460745975e-10,3.2657221371579226e-10,0.013527422453718053,0.014709557839634358,0.0003839067564127974,False
C,0.5,16,18,0.025,4.1279113460745975e-10,3.2657221371579226e-10,0.04347362534575226,0.0472930779631469,0.011856112852159897,False
C,0.5,16,18,0.1,4.1279113460745975e-10,3.2657221371579226e-10,0.0031489907268806494,0.003421208974130063,8.140319997338596e-07,False
C,0.5,16,18,0.2,4.1279113460745975e-10,3.2657221371579226e-10,0.0008646860317599478,0.0009378109877942582,9.835613558867862e-12,True
C,0.5,18,20,0.05,9.258815936163955e-12,9.755057872595785e-12,0.007686322243796322,0.00835803196303163,1.1259246294586619e-05,False
C,0.5,18,20,0.025,9.258815936163955e-12,9.755057872595785e-12,0.032148874394521874,0.03497345184058942,0.0016380084770488109,False
C,0.5,18,20,0.1,9.258815936163955e-12,9.755057872595785e-12,0.001083720174106349,0.0011774053801049016,1.3299450712207874e-09,True
C,0.5,18,20,0.2,9.258815936163955e-12,9.755057872595785e-12,0.00021124873536187394,0.00022911381344012632,3.081171386735802e-15,True
C,1.0,10,12,0.05,4.904324233878654e-05,6.363596611051042e-06,0.28941801113826254,0.29648405940885886,0.012259292232591661,False
C,1.0,10,12,0.025,4.904324233878654e-05,6.363596611051042e-06,0.44369518470884295,0.4545695341723547,0.11041051672259833,False
C,1.0,10,12,0.1,4.904324233878654e-05,6.363596611051042e-06,0.17439892825857137,0.17862046214831695,0.00018209886357536777,False
C,1.0,10,12,0.2,4.904324233878654e-05,6.363596611051042e-06,0.08993665842787521,0.09207588481186683,5.7103279358345135e-08,False
C,1.0,12,14,0.05,1.6667171398587755e-06,2.705648042763964e-07,0.1566776956453272,0.16051014879102446,0.019352194616398637,False
C,1.0,12,14,0.025,1.6667171398587755e-06,2.705648042763964e-07,0.27573848562460773,0.28251451927632076,0.14020397000582932,False
C,1.0,12,14,0.1,1.6667171398587755e-06,2.705648042763964e-07,0.08490674823714005,0.0869642558904429,0.00043295980227879197,False
C,1.0,12,14,0.2,1.6667171398587755e-06,2.705648042763964e-07,0.042952892423615614,0.04397410704345229,2.978444012312125e-07,False
C,1.0,14,16,0.05,4.95268763778256e-08,1.0959377017005778e-08,0.07598925547323988,0.07784809646639383,0.0009320582771580141,False
C,1.0,14,16,0.025,4.95268763778256e-08,1.0959377017005778e-08,0.1412758392301821,0.14474782827403498,0.029318886412170952,False
C,1.0,14,16,0.1,4.95268763778256e-08,1.0959377017005778e-08,0.03596668969532931,0.0368382541908762,1.2625505963874711e-06,False
C,1.0,14,16,0.2,4.95268763778256e-08,1.0959377017005778e-08,0.015675581229408247,0.01604823773643565,4.6561980958350915e-12,False
C,1.0,16,18,0.05,1.5430527966486807e-09,4.842908053748207e-10,0.035492984161878925,0.0363611654483183,0.0014354603340872808,False
C,1.0,16,18,0.025,1.5430527966486807e-09,4.842908053748207e-10,0.09011514854220651,0.09232969101355015,0.0361432618454198,False
C,1.0,16,18,0.1,1.5430527966486807e-09,4.842908053748207e-10,0.011313357741348399,0.01158749586680502,3.039208303430582e-06,False
C,1.0,16,18,0.2,1.5430527966486807e-09,4.842908053748207e-10,0.003935329413837501,0.0040288797380258045,2.7008063797146643e-11,False
C,1.0,18,20,0.05,5.548050907577817e-11,2.3196541909520363e-11,0.018266602909077882,0.01871344172656933,4.47700261834456e-05,False
C,1.0,18,20,0.025,5.548050907577817e-11,2.3196541909520363e-11,0.059217103723566,0.06067243916945837,0.005815652146228165,False
C,1.0,18,20,0.1,5.548050907577817e-11,2.3196541909520363e-11,0.003395340803359974,0.0034776179187266786,4.41891720580928e-09,False
C,1.0,18,20,0.2,5.548050907577817e-11,2.3196541909520363e-11,0.0006945830099672546,0.0007110949025884633,2.52245321913319e-15,True
